#The sections are strictly ordered.
#Don't remove or rearrange any section

[EmulationName]
topo11

[PhysicalTopology]
#First line: Number of physical machines
#Then, each line specifies a tuple:
#type name ip cpu memory disk external_interface bandwidth
2
manager manager 192.168.227.130
node node 192.168.227.131 4 512 8 eth0 1024

[PhysicalMachineDelay]
#Pairwise delay between any physical vms
#If no delay between a pair is specified, default value will be considered
#Default value of delay is 0
#First line: Number of pair of machines have delay
#Next, each line specifies a tuple
#machine1, machine2, delay (ms)
0

[LogicalTopology]
#First line: Number of switches, number of links
#Each switch is represented by 's#'
#Switch # should start with 1
#Next, each line specifies a bidirectional link with the following format:
# s# s# bandwidth delay
2 1
s1 s2 500 0
[Images]
#Number of images
#each line image id, type, location
2
i1 tc base_tc.qcow2
i2 ubuntu base_lubuntu_mini.qcow2

[VirtualMachineProvision]
#Start marker of this section. Don't remove
Hypervisor=kvm
Library=lib-virt
NetworkFile=resources/provisioning/libvirt/libvirt_network.xml
#End marker of this section. Don't remove

[VirtualMachines]
#First line: Number of VMs
#Each switch is represented by 'h#'
#VM# should start with 1
#Next, each line specifies a VM, the switch it is attached, CPU, B/W(Mbps), Memory(MB) and image:
# VM# s# CPU B/W Memory i#
2000
h1 s1 1 300 8 i1
h2 s1 1 300 8 i1
h3 s1 1 300 8 i1
h4 s1 1 300 8 i1
h5 s1 1 300 8 i1
h6 s1 1 300 8 i1
h7 s1 1 300 8 i1
h8 s1 1 300 8 i1
h9 s1 1 300 8 i1
h10 s1 1 300 8 i1
h11 s1 1 300 8 i1
h12 s1 1 300 8 i1
h13 s1 1 300 8 i1
h14 s1 1 300 8 i1
h15 s1 1 300 8 i1
h16 s1 1 300 8 i1
h17 s1 1 300 8 i1
h18 s1 1 300 8 i1
h19 s1 1 300 8 i1
h20 s1 1 300 8 i1
h21 s1 1 300 8 i1
h22 s1 1 300 8 i1
h23 s1 1 300 8 i1
h24 s1 1 300 8 i1
h25 s1 1 300 8 i1
h26 s1 1 300 8 i1
h27 s1 1 300 8 i1
h28 s1 1 300 8 i1
h29 s1 1 300 8 i1
h30 s1 1 300 8 i1
h31 s1 1 300 8 i1
h32 s1 1 300 8 i1
h33 s1 1 300 8 i1
h34 s1 1 300 8 i1
h35 s1 1 300 8 i1
h36 s1 1 300 8 i1
h37 s1 1 300 8 i1
h38 s1 1 300 8 i1
h39 s1 1 300 8 i1
h40 s1 1 300 8 i1
h41 s1 1 300 8 i1
h42 s1 1 300 8 i1
h43 s1 1 300 8 i1
h44 s1 1 300 8 i1
h45 s1 1 300 8 i1
